image_name,safe,lively,beautiful,wealthy,depressing,boring
corr_location_0046_left.jpg,7.220104891428511,8.123846715697143,7.072869261466813,6.113724619872598,2.3303967585088867,1.8660763020004754
corr_location_0115_forward.jpg,3.1478722479599672,8.13186539112465,2.360555127597734,3.5003780495008563,6.7711898794605565,1.8636150795994848
corr_location_0025_left.jpg,5.499451614776691,7.540395827083133,6.8568740255272775,5.314927425515661,2.5523611837079327,2.6511713776419663
corr_location_0128_forward.jpg,5.686593858244248,6.1016019968458615,4.539972754312952,6.621978281022631,4.491728221244812,4.068717062382204
corr_location_0056_left.jpg,4.466247659504239,3.5654301027108044,5.5733920771514756,4.2252685586018925,5.627932252932254,6.268157362455608
corr_location_0068_forward.jpg,4.114733826419167,6.951835101291623,2.7414423796956218,3.6963600059995945,6.027851748712696,3.002463317680709
corr_location_0143_left.jpg,5.481493426633412,7.536765712362659,5.903174025142308,3.599777847044453,3.4787052507117373,3.019677189858267
corr_location_0055_forward.jpg,6.245886527824616,7.478205564908226,5.312651563624104,6.131814899334923,3.8444862458040427,2.5106597792321956
corr_location_0139_right.jpg,6.326546406456781,6.562603096209759,4.661653811991555,5.657047764613554,4.972492517229359,4.425446456579997
corr_location_0054_left.jpg,4.809769101061858,8.233914895513323,4.8846822244613,5.489125413313442,4.890615477144808,1.7256916055760805
corr_location_0001_left.jpg,1.9851162991532345,3.8902021386878034,2.4850873117560726,2.9216921195124375,7.612914544578744,5.530953865801535
corr_location_0035_forward.jpg,6.529271662862994,7.3953275268858345,6.306214018752719,6.339211656936116,3.0974939430735784,2.597194518969545
corr_location_0058_left.jpg,7.77072952096909,4.121497956925043,7.596430149132678,7.333238434381919,2.51649223154549,6.054746310568855
corr_location_0034_right.jpg,5.317458009840661,5.111067991567674,4.870270888776632,6.7408851626312645,4.73161640327734,5.128999139938814
corr_location_0056_rear.jpg,6.058488751035517,5.050054707276126,6.602927869543498,4.260161020236401,4.096651651203174,5.093794555456343
corr_location_0150_left.jpg,2.597905725893817,2.0242520249804903,1.6852972542659466,2.419703859785522,8.157057864977045,7.537797037068573
corr_location_0121_right.jpg,4.90621513234808,2.7046349222373927,4.597002486164591,4.181501632697397,5.271351938766232,6.304661132187429
corr_location_0113_right.jpg,5.150912254329724,1.915448903561634,5.557196011887088,3.8489950997388074,4.3636101503378395,8.654884733242856
corr_location_0093_right.jpg,2.5693614813539685,6.145659303872221,3.0934427456246514,2.9878138280525324,6.874589846221081,4.312270381406435
corr_location_0097_left.jpg,7.636256770166607,4.631450153970008,8.010565884486368,8.152554533243388,2.0398752102760582,4.32404127196495
corr_location_0106_left.jpg,1.8828070103236632,2.783262691041329,2.5789681269164295,2.7001008590570734,8.10583941533374,6.482220457836786
corr_location_0110_left.jpg,7.364123073124957,7.531573772337502,7.582645997631191,6.802292209443239,2.490445704487149,2.4269324290634358
corr_location_0007_rear.jpg,7.635255492145158,4.0908663317691,6.71262032358935,6.504157444074081,3.828974478788272,5.840630696219157
corr_location_0099_rear.jpg,7.805642659075787,5.41694223437296,6.454334715042876,6.661318810109703,3.22194581216893,4.540461790433027
corr_location_0023_right.jpg,2.8785927217299765,5.972823995463314,1.9573232743755797,3.79189188784562,7.8801087063538855,3.9636420892870845
