panel,source,variable,metric,estimate,ci_low,ci_high,empirical_definition,changed_input
a,Empirical,population,unique_ratio,1.0,1.0,1.0,,
a,Empirical,road,unique_ratio,1.0,1.0,1.0,,
a,Empirical,gdp,unique_ratio,1.0,1.0,1.0,,
a,Baseline,population,unique_ratio,0.8178021978021979,0.7784615384615385,0.8554945054945055,,
a,Baseline,road,unique_ratio,0.6901098901098902,0.6502170329670328,0.7294505494505494,,
a,Baseline,gdp,unique_ratio,0.7945054945054945,0.7530741758241758,0.8323076923076924,,
a,Blueprint,population,unique_ratio,0.9798275862068964,0.9639655172413794,0.993103448275862,,
a,Blueprint,road,unique_ratio,0.9708620689655172,0.9515517241379312,0.9868965517241378,,
a,Blueprint,gdp,unique_ratio,0.9422413793103448,0.9127586206896552,0.9675862068965516,,
b,Empirical,population,log10_range,2.446730332091131,2.372339366533126,2.521039457660282,,
b,Empirical,road,log10_range,3.5338494756287453,3.340091352983225,3.7255693538490497,,
b,Empirical,gdp,log10_range,2.2037841695286864,2.156300490215367,2.2521865273330928,,
b,Baseline,population,log10_range,0.8619108960025337,0.799776874504802,0.9271372228894964,,
b,Baseline,road,log10_range,0.7106818427339041,0.6583838923032168,0.7654084503887205,,
b,Baseline,gdp,log10_range,0.9357393562089794,0.8566174936964362,1.02486201642008,,
b,Blueprint,population,log10_range,2.6653455563395245,2.6272553247830435,2.7111508021186355,,
b,Blueprint,road,log10_range,2.007776178736381,1.911197429284151,2.105683719474753,,
b,Blueprint,gdp,log10_range,2.5121032226201256,2.4112277879850152,2.6168004743791933,,
c,,,mean log10 range,2.728121325749521,,,administrative: positive complete,
c,,,mean log10 range,3.9935097441640863,,,physical: all positive,
c,,,mean log10 range,3.2351795333805584,,,physical: area gt 20,
c,,,mean log10 range,3.5745337401094956,,,physical: area gt 5,
d,,,paired output slope,0.6057118708382186,0.5601931401542414,0.6492840762821863,,road
d,,,paired output slope,0.3508888374639691,0.311286275661447,0.3899231784154183,,gdp
