image_name,safe,lively,beautiful,wealthy,depressing,boring
corr_location_0020_rear.jpg,4.305957102028457,3.37684514160518,3.2548625509279328,4.098216277010456,6.3340368627528045,6.843098559112915
"corr_location_0020_rear_add_category_add_more_built_environment_structures,_such_as_buildings,_fences,_and_walls.jpg",3.700331168700662,3.6854903778460812,2.828906489922961,4.937460228729853,6.189314174639477,6.386360524724101
"corr_location_0020_rear_add_category_add_more_traffic_elements_to_the_scene,_such_as_cars,_trucks,_bridges,_and_roads.jpg",5.506509660527783,5.263222452022903,3.3729062437620865,4.314449230005207,5.014961046902195,6.050861767381874
"corr_location_0020_rear_add_category_add_natural_greenery_to_the_scene,_such_as_trees,_grass,_sky,_water,_and_bushes.jpg",2.712524972122302,2.8811935045247092,4.513911748124458,2.9520267846546204,7.7157826056957255,7.217611736555145
corr_location_0020_rear_add_individual_a_body_of_water.jpg,2.8880970277513853,2.7791562978204936,3.6388513079665668,3.9307827333106498,7.599076058290252,7.670559240625462
corr_location_0020_rear_add_individual_a_bridge.jpg,4.306794580503263,2.491132290488831,2.694788733560031,3.802300102135454,7.1672146280170566,7.847334567745457
corr_location_0020_rear_add_individual_a_few_walls.jpg,3.9283128232990254,2.3030161221560737,3.2947300875512693,3.1116492291338065,7.178964484821909,7.97113112681002
corr_location_0020_rear_add_individual_several_buildings.jpg,4.222045199245273,3.2952334057614814,3.287075275217291,4.002988771234148,6.813019976880255,6.638385333531966
corr_location_0020_rear_add_individual_some_cars.jpg,5.36109875097785,4.471512543413494,3.785528595043522,5.220503188551578,5.677882761112378,4.973454102037401
corr_location_0020_rear_add_individual_some_fence.jpg,5.171574636089258,2.9386152095575166,3.1667619526005386,4.522281088507625,6.088983431483984,7.170499064885544
corr_location_0020_rear_add_individual_some_grass.jpg,4.511440384479086,2.9608906292369848,4.080207355507957,4.457181764982255,5.886342400547619,6.960334194718335
corr_location_0020_rear_add_individual_some_road_intersections.jpg,4.991995894431718,3.5465610192925627,3.67681953497054,4.800648677365572,5.942231507992183,6.6091335953226515
corr_location_0020_rear_add_individual_some_trees.jpg,7.3792870424569665,5.116282385460842,7.808670029498373,5.6687649467523675,2.4642986681243664,4.743936232216685
corr_location_0020_rear_add_individual_some_trucks.jpg,4.604380163068382,5.241454463162592,2.5411305229374586,3.892623168836682,5.951592399400502,4.8789528303603
corr_location_0020_rear_add_individual_the_amount_of_visible_sky.jpg,3.343405260337367,2.9807947927494634,2.595741315939967,3.398741851279264,7.059269472510825,6.965044917110239
corr_location_0039_left.jpg,1.6382409718410145,1.8033394759428514,2.3232723915191356,2.835024465057552,8.607793055641066,8.510944348350078
"corr_location_0039_left_add_category_add_more_built_environment_structures,_such_as_buildings,_fences,_and_walls.jpg",0.460594488853341,1.7736736380007119,1.863832240788019,0.9468373023108536,9.811957553300246,8.236724039556112
