record_type,benchmark,relation,condition,estimate,ci_low,ci_high,mean_r2,significant_share_p_lt_0_05,n,x_unit,y_unit,attempt_id,replicate,endpoint,x_plot,y_plot,beta,parameter,feature,metric
fit_summary,Urban Scaling,Zipf,BASE,-0.4770998592057908,-0.6636499851004416,-0.290414088421866,0.7871518774740408,1.0,99.0,log10(rank),log10(population),,,,,,,,,
fit_summary,Urban Scaling,Zipf,FULL,-1.5314912119404342,-2.058534240894573,-0.8559427451049864,0.8876866545353642,1.0,99.0,log10(rank),log10(population),,,,,,,,,
fit_summary,Urban Scaling,Road,BASE,0.8866055211677946,0.6763543228095712,1.1296331638755364,0.9803861947754738,1.0,99.0,log10(population),log10(road),,,,,,,,,
fit_summary,Urban Scaling,Road,FULL,0.8504650886461032,0.5964238543864726,1.1748957666056592,0.9864392123056512,1.0,99.0,log10(population),log10(road),,,,,,,,,
fit_summary,Urban Scaling,GDP,BASE,1.0437273109251874,0.6935767848709922,1.330756696874461,0.985012131619084,1.0,99.0,log10(population),log10(gdp),,,,,,,,,
fit_summary,Urban Scaling,GDP,FULL,1.0131234658433443,0.7700986715445943,1.2653693335221854,0.9910608031653468,1.0,99.0,log10(population),log10(gdp),,,,,,,,,
curve_endpoint,Urban Scaling,Zipf,BASE,,,,,,,log10(rank),log10(population),SCL-BPA2-BASE-R001,1.0,start,0.0,6.989614928634737,-0.6517255433352651,,,
curve_endpoint,Urban Scaling,Zipf,BASE,,,,,,,log10(rank),log10(population),SCL-BPA2-BASE-R001,1.0,end,2.6057668914195107,5.291370085519311,-0.6517255433352651,,,
curve_endpoint,Urban Scaling,Zipf,BASE,,,,,,,log10(rank),log10(population),SCL-BPA2-BASE-R002,2.0,start,0.0,6.7419548158986755,-0.6019676587049185,,,
curve_endpoint,Urban Scaling,Zipf,BASE,,,,,,,log10(rank),log10(population),SCL-BPA2-BASE-R002,2.0,end,2.6057668914195107,5.173367421140079,-0.6019676587049185,,,
curve_endpoint,Urban Scaling,Zipf,BASE,,,,,,,log10(rank),log10(population),SCL-BPA2-BASE-R003,3.0,start,0.0,6.579464311957046,-0.4205716249313441,,,
curve_endpoint,Urban Scaling,Zipf,BASE,,,,,,,log10(rank),log10(population),SCL-BPA2-BASE-R003,3.0,end,2.6057668914195107,5.483552696240444,-0.4205716249313441,,,
curve_endpoint,Urban Scaling,Zipf,BASE,,,,,,,log10(rank),log10(population),SCL-BPA2-BASE-R004,4.0,start,0.0,6.6299540531578085,-0.5509740078505065,,,
curve_endpoint,Urban Scaling,Zipf,BASE,,,,,,,log10(rank),log10(population),SCL-BPA2-BASE-R004,4.0,end,2.6057668914195107,5.194244225468244,-0.5509740078505065,,,
curve_endpoint,Urban Scaling,Zipf,BASE,,,,,,,log10(rank),log10(population),SCL-BPA2-BASE-R005,5.0,start,0.0,6.393478110612788,-0.3560899421290561,,,
curve_endpoint,Urban Scaling,Zipf,BASE,,,,,,,log10(rank),log10(population),SCL-BPA2-BASE-R005,5.0,end,2.6057668914195107,5.465590729045404,-0.3560899421290561,,,
curve_endpoint,Urban Scaling,Zipf,BASE,,,,,,,log10(rank),log10(population),SCL-BPA2-BASE-R006,6.0,start,0.0,6.665388973684031,-0.5468192364633305,,,
