scene_id,theme,dimension,reference_effect,signed_theme_score
scene_001,natural_elements,Beautiful,2.2333333333333334,-1.015625
scene_001,natural_elements,Depressing,-2.775,-6.15625
scene_001,natural_elements,Lively,1.1916666666666667,5.03125
scene_001,natural_elements,Safe,1.0916666666666666,2.640625
scene_001,natural_elements,Wealthy,1.3499999999999999,-2.1875
scene_001,natural_elements,Boring,-1.1916666666666667,-3.71875
scene_001,traffic_elements,Beautiful,-0.7666666666666666,1.15625
scene_001,traffic_elements,Depressing,0.08333333333333333,4.734375
scene_001,traffic_elements,Lively,1.4583333333333333,7.171875
scene_001,traffic_elements,Safe,-0.4083333333333334,-4.109375
scene_001,traffic_elements,Wealthy,0.2416666666666667,4.546875
scene_001,traffic_elements,Boring,-0.375,0.21875
scene_001,built_elements,Beautiful,0.48333333333333334,-2.421875
scene_001,built_elements,Depressing,-1.0666666666666667,-4.046875
scene_001,built_elements,Lively,0.15,2.71875
scene_001,built_elements,Safe,0.3416666666666666,2.859375
scene_001,built_elements,Wealthy,0.975,-3.46875
scene_001,built_elements,Boring,0.05833333333333335,-2.421875
scene_002,natural_elements,Beautiful,2.2333333333333334,7.875
scene_002,natural_elements,Depressing,-2.775,-0.1875
scene_002,natural_elements,Lively,1.1916666666666667,4.90625
scene_002,natural_elements,Safe,1.0916666666666666,2.5
scene_002,natural_elements,Wealthy,1.3499999999999999,5.9375
scene_002,natural_elements,Boring,-1.1916666666666667,-0.890625
scene_002,traffic_elements,Beautiful,-0.7666666666666666,-2.640625
scene_002,traffic_elements,Depressing,0.08333333333333333,-5.78125
scene_002,traffic_elements,Lively,1.4583333333333333,8.15625
scene_002,traffic_elements,Safe,-0.4083333333333334,-2.78125
scene_002,traffic_elements,Wealthy,0.2416666666666667,-3.21875
scene_002,traffic_elements,Boring,-0.375,-5.421875
scene_002,built_elements,Beautiful,0.48333333333333334,3.625
scene_002,built_elements,Depressing,-1.0666666666666667,3.484375
scene_002,built_elements,Lively,0.15,0.359375
scene_002,built_elements,Safe,0.3416666666666666,0.78125
scene_002,built_elements,Wealthy,0.975,5.265625
scene_002,built_elements,Boring,0.05833333333333335,2.234375
scene_003,natural_elements,Beautiful,2.2333333333333334,1.859375
scene_003,natural_elements,Depressing,-2.775,-5.8125
scene_003,natural_elements,Lively,1.1916666666666667,4.828125
scene_003,natural_elements,Safe,1.0916666666666666,4.203125
scene_003,natural_elements,Wealthy,1.3499999999999999,0.578125
scene_003,natural_elements,Boring,-1.1916666666666667,-4.703125
scene_003,traffic_elements,Beautiful,-0.7666666666666666,0.546875
scene_003,traffic_elements,Depressing,0.08333333333333333,1.203125
scene_003,traffic_elements,Lively,1.4583333333333333,10.25
scene_003,traffic_elements,Safe,-0.4083333333333334,-5.703125
scene_003,traffic_elements,Wealthy,0.2416666666666667,-2.71875
scene_003,traffic_elements,Boring,-0.375,-3.59375
scene_003,built_elements,Beautiful,0.48333333333333334,-0.8125
scene_003,built_elements,Depressing,-1.0666666666666667,0.5
scene_003,built_elements,Lively,0.15,1.703125
scene_003,built_elements,Safe,0.3416666666666666,3.359375
scene_003,built_elements,Wealthy,0.975,0.484375
scene_003,built_elements,Boring,0.05833333333333335,-1.96875
scene_004,natural_elements,Beautiful,2.2333333333333334,8.484375
scene_004,natural_elements,Depressing,-2.775,0.15625
scene_004,natural_elements,Lively,1.1916666666666667,8.921875
scene_004,natural_elements,Safe,1.0916666666666666,0.734375
scene_004,natural_elements,Wealthy,1.3499999999999999,6.21875
scene_004,natural_elements,Boring,-1.1916666666666667,-1.640625
scene_004,traffic_elements,Beautiful,-0.7666666666666666,-3.6875
scene_004,traffic_elements,Depressing,0.08333333333333333,-5.453125
scene_004,traffic_elements,Lively,1.4583333333333333,5.328125
scene_004,traffic_elements,Safe,-0.4083333333333334,-1.375
scene_004,traffic_elements,Wealthy,0.2416666666666667,-3.578125
scene_004,traffic_elements,Boring,-0.375,-4.09375
scene_004,built_elements,Beautiful,0.48333333333333334,3.140625
scene_004,built_elements,Depressing,-1.0666666666666667,3.34375
scene_004,built_elements,Lively,0.15,0.640625
scene_004,built_elements,Safe,0.3416666666666666,1.4375
scene_004,built_elements,Wealthy,0.975,4.5625
scene_004,built_elements,Boring,0.05833333333333335,2.21875
scene_005,natural_elements,Beautiful,2.2333333333333334,5.859375
scene_005,natural_elements,Depressing,-2.775,-9.140625
scene_005,natural_elements,Lively,1.1916666666666667,7.5
scene_005,natural_elements,Safe,1.0916666666666666,3.421875
scene_005,natural_elements,Wealthy,1.3499999999999999,1.71875
scene_005,natural_elements,Boring,-1.1916666666666667,-7.703125
scene_005,traffic_elements,Beautiful,-0.7666666666666666,-0.15625
scene_005,traffic_elements,Depressing,0.08333333333333333,3.765625
scene_005,traffic_elements,Lively,1.4583333333333333,8.8125
scene_005,traffic_elements,Safe,-0.4083333333333334,-3.75
scene_005,traffic_elements,Wealthy,0.2416666666666667,0.5
scene_005,traffic_elements,Boring,-0.375,-1.09375
scene_005,built_elements,Beautiful,0.48333333333333334,-1.765625
scene_005,built_elements,Depressing,-1.0666666666666667,-3.046875
scene_005,built_elements,Lively,0.15,2.65625
scene_005,built_elements,Safe,0.3416666666666666,1.46875
scene_005,built_elements,Wealthy,0.975,-1.0
scene_005,built_elements,Boring,0.05833333333333335,-2.46875
scene_006,natural_elements,Beautiful,2.2333333333333334,9.25
scene_006,natural_elements,Depressing,-2.775,-2.484375
scene_006,natural_elements,Lively,1.1916666666666667,7.953125
scene_006,natural_elements,Safe,1.0916666666666666,2.359375
scene_006,natural_elements,Wealthy,1.3499999999999999,5.375
scene_006,natural_elements,Boring,-1.1916666666666667,-1.34375
scene_006,traffic_elements,Beautiful,-0.7666666666666666,-1.390625
scene_006,traffic_elements,Depressing,0.08333333333333333,-3.5625
