profile_id,prompt_condition,alpha_hat,c_hat,D_hat_km
decay_setting_001,Baseline prompt,1.259037027299844,0.0145988079417989,14.613664451906416
decay_setting_001,Blueprint prompt,1.870262854669964,0.0043549209996974,45.94220665456773
decay_setting_002,Baseline prompt,2.0878808279000296,0.0150405582121125,34.808819145836466
decay_setting_002,Blueprint prompt,1.7568056767652236,0.0119508873159899,35.291037200140146
decay_setting_003,Baseline prompt,1.3742701094648546,0.0154254137981355,23.041273759158965
decay_setting_003,Blueprint prompt,1.7964588881345038,0.0198244441044271,38.146841808054766
decay_setting_004,Baseline prompt,1.5254858750302562,0.0128682535427178,23.353655839716176
decay_setting_006,Baseline prompt,1.7214242134636424,0.0083233803822534,31.43284706425762
decay_setting_004,Blueprint prompt,1.8231158188933343,0.0079896476292344,33.89545448726603
decay_setting_006,Blueprint prompt,1.882374170892292,0.0099232502774859,40.432844666811626
decay_setting_005,Blueprint prompt,1.6187839920198184,0.0115652956721835,30.531806427822588
decay_setting_007,Blueprint prompt,2.04191803444904,0.0089124582895005,46.85357572937692
decay_setting_009,Baseline prompt,1.4295772176587516,0.0024446838490933,12.991914388271995
decay_setting_009,Blueprint prompt,2.062125286098338,0.0213138415475384,30.290684643126653
decay_setting_008,Blueprint prompt,1.902459085740319,0.0132109961120868,31.71066187523637
decay_setting_008,Baseline prompt,1.3073749660300429,0.0094108176318347,26.344382086921488
decay_setting_010,Baseline prompt,1.7202772122377288,0.0016736078886298,22.192326807773608
decay_setting_010,Blueprint prompt,1.7244637344303957,0.027057830266495,53.57963087712808
decay_setting_011,Baseline prompt,1.6471594654242756,0.0037137132963627,21.32965505113068
decay_setting_012,Baseline prompt,0.8999466523959225,0.0081198854123952,13.968196017370484
decay_setting_013,Baseline prompt,1.3452565085029156,0.0082205463495917,16.53097890515656
decay_setting_014,Blueprint prompt,1.7315778431136477,0.0149262397071705,33.99118934423409
decay_setting_011,Blueprint prompt,1.686990345415864,0.0386079356394299,34.14648866021178
decay_setting_013,Blueprint prompt,1.6764920358173132,0.0064613144621486,36.12614814698217
decay_setting_015,Baseline prompt,1.6743945216025975,0.0101371107808448,22.3670917802946
decay_setting_014,Baseline prompt,1.541490487769025,0.0040022790271449,18.72271773860445
decay_setting_015,Blueprint prompt,1.5257128153927804,7.847642272806828e-24,43.69918253339693
decay_setting_016,Baseline prompt,1.1118724141041514,0.0089056524087022,17.033323598799466
decay_setting_016,Blueprint prompt,1.389725695858706,0.0125662897387984,27.132531754546417
decay_setting_017,Baseline prompt,1.380387252117626,0.0079671494817316,18.82151062702524
decay_setting_017,Blueprint prompt,1.478489328441638,0.0192003178398345,33.04123290076344
decay_setting_018,Baseline prompt,1.8721553314794912,0.0085517221137598,21.935146077037864
decay_setting_019,Baseline prompt,1.7144234362316886,0.0076393534161067,26.22470055514176
decay_setting_020,Blueprint prompt,1.463287149135644,0.0156286393936631,29.32038040546503
decay_setting_018,Blueprint prompt,2.1885329982730526,0.0182240552556088,41.32794329727659
